dataset,n_segments,c,rule,selector,n_seeds,eval_auroc,eval_auroc_sd,alpha_values,own_floor_pct,published_floor_pct,gain_over_base_pct,oracle_gain_pct,recovered_fraction,vs_validation,vs_distance_matched
PSM,5,c10,dare,validation,3,0.7851189804481437,0.0014247261266625987,0.5 0.5 0.5,0.6975,0.068,2.8819716667351813,3.5291370366610697,0.8166222044644165,,
PSM,5,c10,dare,distance_matched,3,0.791896642953659,0.0023451779754615786,dm dm dm,0.6975,0.068,3.7701163928518637,3.5291370366610697,1.0682827993607142,,
PSM,5,c10,dare,oracle,3,0.79005766705364,0.0047903021572836295,1 1 1,0.6975,0.068,3.5291370366610697,3.5291370366610697,1.0,,
PSM,5,c10,dare,base,3,0.7631259079981222,0.005322437435573503,0 0 0,0.6975,0.068,0.0,3.5291370366610697,0.0,,
PSM,5,c10,ties,calibrated,3,0.7738576792523265,0.002874833535271428,0.5 0.5 1,0.6975,0.068,1.4062910381796043,3.7110438637996506,0.37894756564255105,tie,worse
PSM,5,c10,ties,validation,3,0.7782590942286475,0.00345896512917113,1 1 1,0.6975,0.068,1.9830523471839099,3.7110438637996506,0.5343651058744181,,
PSM,5,c10,ties,distance_matched,3,0.7908060938634202,0.006520569284946677,dm dm dm,0.6975,0.068,3.627210867196253,3.7110438637996506,0.9774098610309707,,
PSM,5,c10,ties,oracle,3,0.7914458451799519,0.005839754762855291,3 3 2,0.6975,0.068,3.7110438637996506,3.7110438637996506,1.0,,
PSM,5,c10,ties,base,3,0.7631259079981222,0.005322437435573503,0 0 0,0.6975,0.068,0.0,3.7110438637996506,0.0,,
PSM,5,c10,iso_c,calibrated,3,0.7727027697466138,0.0026447712921554025,3 5 5,0.6975,0.068,1.254951725281375,1.2796984384011376,0.9806620744566343,tie,tie
PSM,5,c10,iso_c,validation,3,0.7728916183258087,0.002759854968424397,5 5 5,0.6975,0.068,1.2796984384011376,1.2796984384011376,1.0,,
PSM,5,c10,iso_c,distance_matched,3,0.7708794590484805,0.0031645352637737147,dm dm dm,0.6975,0.068,1.0160251367559956,1.2796984384011376,0.793956690316371,,
PSM,5,c10,iso_c,oracle,3,0.7728916183258087,0.002759854968424397,5 5 5,0.6975,0.068,1.2796984384011376,1.2796984384011376,1.0,,
PSM,5,c10,iso_c,base,3,0.7631259079981222,0.005322437435573503,0 0 0,0.6975,0.068,0.0,1.2796984384011376,0.0,,
PSM,5,c10,tsv,calibrated,3,0.774729543763044,0.002447411632232621,1 1 1,0.6975,0.068,1.5205401419748943,4.285937602601273,0.3547742134771233,tie,worse
PSM,5,c10,tsv,validation,3,0.774729543763044,0.002447411632232621,1 1 1,0.6975,0.068,1.5205401419748943,4.285937602601273,0.3547742134771233,,
PSM,5,c10,tsv,distance_matched,3,0.7802648343129208,0.0017931017944213463,dm dm dm,0.6975,0.068,2.2458844779308427,4.285937602601273,0.524012406659337,,
PSM,5,c10,tsv,oracle,3,0.7958330082442061,0.0026905226661755426,3 3 3,0.6975,0.068,4.285937602601273,4.285937602601273,1.0,,
PSM,5,c10,tsv,base,3,0.7631259079981222,0.005322437435573503,0 0 0,0.6975,0.068,0.0,4.285937602601273,0.0,,
