dataset,n_segments,metric,rule,protocol,n_seeds,n_seeds_expected,floor_pct,value,value_sd,ta_value,delta_pct,delta_paired_sd,margin_ratio,borderline,verdict,alpha_mean,alpha_values,alpha_at_edge,oracle_value,oracle_alpha_values,distance,ta_distance,grr,grr_ta,grr_delta,source_experiment
exchange,2,forecast/mse,tsv,val-selected alpha,3,3,5.734,0.24295702079931894,0.018817616853982692,0.25541646281878155,-4.878088860036641,3.623219810547573,0.8507305301773005,False,tie,1.0,1 1 1,False,0.24295702079931894,1 1 1,3.0013540000000005,2.268171,1.434092,1.398672,0.03542,segsweep_exchange_merge_n2
exchange,3,forecast/mse,ta,val-selected alpha,3,3,5.734,0.3418278098106384,0.05521202248371348,0.3418278098106384,0.0,0.0,0.0,False,control,0.5,0.5 0.5 0.5,False,0.33210864663124084,0.3 0.3 0.5,1.4462916666666665,1.4462916666666665,1.164619,1.164619,0.0,selalpha_exchange_n3
exchange,3,forecast/mse,dare,val-selected alpha,3,3,5.734,0.34160049756368,0.057001547004490345,0.3418278098106384,-0.06649905023361231,2.5228928158505255,0.011597323026440934,False,tie,0.5,0.5 0.5 0.5,False,0.33018235365549725,0.3 0.5 0.5,2.4637343333333335,1.4462916666666665,1.165336,1.164619,0.000717,selalpha_exchange_n3
exchange,3,forecast/mse,ties,val-selected alpha,3,3,5.734,0.31261222064495087,0.08527370364030594,0.3418278098106384,-8.546873111895739,31.43197812716457,1.490560361335148,True,better,1.3333333333333333,1.5 1.5 1,False,0.2803630779186885,1.5 1.5 2,2.522774333333333,1.4462916666666665,1.256803,1.164619,0.092184,selalpha_exchange_n3
exchange,3,forecast/mse,iso_c,val-selected alpha,3,3,5.734,0.39094945788383484,0.023590268405294407,0.3418278098106384,14.370290147079672,12.898314242664421,2.506154542567086,False,worse,3.0,3 3 3,True,0.39094945788383484,3 3 3,3.7802000000000002,1.4462916666666665,1.009625,1.164619,-0.154994,selalpha_exchange_n3
exchange,3,forecast/mse,tsv,val-selected alpha,3,3,5.734,0.317706157763799,0.03856631844305538,0.3418278098106384,-7.056667525150172,4.988807971344192,1.2306710019445715,True,better,1.0,1 1 1,False,0.317706157763799,1 1 1,2.5914396666666666,1.4462916666666665,1.24073,1.164619,0.076111,selalpha_exchange_n3
exchange,5,forecast/mse,ta,val-selected alpha,3,3,5.734,0.3270547091960907,0.028187781087035044,0.3270547091960907,0.0,0.0,0.0,False,control,0.3,0.3 0.3 0.3,False,0.3270547091960907,0.3 0.3 0.3,1.0768456666666666,1.0768456666666666,1.224428,1.224428,0.0,segsweep_exchange_merge_n5
exchange,5,forecast/mse,dare,val-selected alpha,3,3,5.734,0.328273872534434,0.02883063777507389,0.3270547091960907,0.37277045829428884,0.1965752701383213,0.06501054382530325,False,tie,0.3,0.3 0.3 0.3,False,0.328273872534434,0.3 0.3 0.3,1.6472923333333334,1.0768456666666666,1.22044,1.224428,-0.003989,segsweep_exchange_merge_n5
exchange,5,forecast/mse,ties,val-selected alpha,3,3,5.734,0.29779984056949615,0.06697941836623225,0.3270547091960907,-8.944946458194655,16.150449729529903,1.559983686465758,False,better,1.5,1.5 1.5 1.5,False,0.29779984056949615,1.5 1.5 1.5,2.5061796666666667,1.0768456666666666,1.320136,1.224428,0.095708,segsweep_exchange_merge_n5
exchange,5,forecast/mse,iso_c,val-selected alpha,3,3,5.734,0.3383558690547943,0.026535095523646187,0.3270547091960907,3.4554340729360447,5.02339991467479,0.6026219171496415,False,tie,3.0,3 3 3,True,0.3383558690547943,3 3 3,4.705046,1.0768456666666666,1.187456,1.224428,-0.036972,segsweep_exchange_merge_n5
exchange,5,forecast/mse,tsv,val-selected alpha,3,3,5.734,0.2872875432173411,0.017160479904504426,0.3270547091960907,-12.159178529029084,3.8500959224828226,2.1205403782750407,False,better,1.0,1 1 1,False,0.2872875432173411,1 1 1,2.687124666666667,1.0768456666666666,1.354528,1.224428,0.1301,segsweep_exchange_merge_n5
SWaT,2,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8044037359742656,0.0009751602501558741,0.8044037359742656,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.8047759558737647,1 2 1,1.4963586666666666,1.4963586666666666,0.573453,0.573453,0.0,segsweep_swat_merge_n2
SWaT,2,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8025966664146166,0.0008901209180574425,0.8044037359742656,-0.22464708688360135,0.029557473788884465,2.582150423949441,False,worse,0.6581794194429702,0.659113 0.6552 0.660225,False,0.8051623268386532,1 2 1,1.4963586666666666,1.4963586666666666,0.349139,0.573453,-0.224314,segsweep_swat_merge_n2
SWaT,2,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8032263926746257,0.0016086869470562104,0.8044037359742656,-0.14636223664649747,0.08377659774153329,1.6823245591551435,False,worse,2.0073362179661016,2.04507 1.97249 2.00445,False,0.8036542434742571,2 5 3,1.4963586666666666,1.4963586666666666,0.427308,0.573453,-0.146145,segsweep_swat_merge_n2
SWaT,2,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.087,0.7998093994802226,0.0015272457200903881,0.8044037359742656,-0.5711480800718263,0.12179694593743558,6.5649204605957046,False,worse,2.8380141450926053,2.94363 2.78339 2.78701,False,0.8005999161006848,5 5 5,1.4963586666666666,1.4963586666666666,0.003153,0.573453,-0.5703,segsweep_swat_merge_n2
SWaT,2,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8027172345548239,0.0007328623950030213,0.8044037359742656,-0.2096585761625136,0.06547416202490781,2.409868691523145,False,worse,1.331829480377487,1.33816 1.31906 1.33827,False,0.8043889058109818,2 3 2,1.4963586666666666,1.4963586666666666,0.364106,0.573453,-0.209347,segsweep_swat_merge_n2
SWaT,3,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8037332039978456,0.0013410170609257689,0.8037332039978456,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.805473662964472,3 2 3,1.8049103333333332,1.8049103333333332,0.523352,0.523352,0.0,noisefloor_swat
SWaT,3,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8030926433249602,0.0011378866865455377,0.8037332039978456,-0.07969817219186869,0.02664246157082305,0.9160709447341229,False,tie,0.7171883031559195,0.713479 0.719148 0.718938,False,0.8053257003965589,3 2 3,1.8049103333333332,1.8049103333333332,0.449007,0.523352,-0.074345,noisefloor_swat
SWaT,3,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8023581618218842,0.0020048116000364324,0.8037332039978456,-0.17108191737280656,0.0831554326458055,1.966458820377087,False,worse,2.726368454605767,2.71431 2.72279 2.74201,False,0.8032406257157847,2 5 5,1.8049103333333332,1.8049103333333332,0.363761,0.523352,-0.159592,noisefloor_swat
SWaT,3,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.087,0.7990222510826448,0.0008708113363759074,0.8037332039978456,-0.5861339175447923,0.1467549245269964,6.737171466032096,False,worse,3.1283025178986095,3.12767 3.09887 3.15837,False,0.7996682310007289,0.5 5 5,1.8049103333333332,1.8049103333333332,-0.023416,0.523352,-0.546768,noisefloor_swat
SWaT,3,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8018302144567442,0.0007661508965904193,0.8037332039978456,-0.23676880980352827,0.10226755501328176,2.721480572454348,False,worse,1.5722361465561019,1.56431 1.57606 1.57634,False,0.8050080703826553,5 5 5,1.8049103333333332,1.8049103333333332,0.302485,0.523352,-0.220867,noisefloor_swat
SWaT,5,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8048534669707029,0.001882676180828389,0.8048534669707029,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.8082257589202296,2 2 3,2.4863809999999997,2.4863809999999997,0.660775,0.660775,0.0,segsweep_swat_merge_n5
SWaT,5,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8043180525428638,0.0017575325010273381,0.8048534669707029,-0.06652321817712921,0.015652037853801554,0.7646346916911404,False,tie,0.7899076967658445,0.788811 0.791015 0.789897,False,0.8084272744807247,2 2 3,2.4863809999999997,2.4863809999999997,0.599961,0.660775,-0.060815,segsweep_swat_merge_n5
SWaT,5,window_auroc,ties,distance-matched to TA at alpha = 1.0,3,3,0.087,0.8017470008295807,0.0017077011801543364,0.8048534669707029,-0.38596667202221,0.151530445315347,4.43639852899092,False,worse,4.0650563848870185,4.07175 4.06389 4.05953,False,0.8025583759932026,2 5 5,2.4863809999999997,2.4863809999999997,0.307928,0.660775,-0.352847,segsweep_swat_merge_n5
SWaT,5,window_auroc,iso_c,distance-matched to TA at alpha = 1.0,3,3,0.087,0.7988707176771971,0.0011909416031182169,0.8048534669707029,-0.743333978049897,0.19724912224326327,8.544068713217207,False,worse,3.2594582639708434,3.36837 3.33171 3.0783,False,0.7997763109340118,5 5 5,2.4863809999999997,2.4863809999999997,-0.018774,0.660775,-0.679549,segsweep_swat_merge_n5
SWaT,5,window_auroc,tsv,distance-matched to TA at alpha = 1.0,3,3,0.087,0.80277677023118,0.002559525530821832,0.8048534669707029,-0.25802171758533593,0.23545416166831712,2.965766868796965,False,worse,1.9766831198826222,1.97251 1.98289 1.97465,False,0.8056935377458642,5 5 5,2.4863809999999997,2.4863809999999997,0.424894,0.660775,-0.235881,segsweep_swat_merge_n5
PSM,2,window_auroc,ta,distance-matched to TA at alpha = 1.0,3,3,0.068,0.8041249497574965,0.0006966451686122553,0.8041249497574965,0.0,0.0,0.0,False,control,1.0,1 1 1,False,0.8041249497574965,1 1 1,1.1418603333333335,1.1418603333333335,1.159284,1.159284,0.0,segsweep_psm_merge_n2
PSM,2,window_auroc,dare,distance-matched to TA at alpha = 1.0,3,3,0.068,0.7998620517237588,0.001348970049987554,0.8041249497574965,-0.5301288108301173,0.10260317383173403,7.796011923972313,False,worse,0.6130166880280205,0.614782 0.612055 0.612212,False,0.8043219554734303,1 1 1,1.1418603333333335,1.1418603333333335,1.000635,1.159284,-0.158649,segsweep_psm_merge_n2
