dataset,n_segments,seed,rule,metric,alpha,value,oracle_alpha,oracle_value,distance,source_experiment,run
SWaT,2,7,dare,window_auroc,0.6602246649933511,0.8017924765320696,1.0,0.8036551834528143,1.642995,segsweep_swat_merge_n2,80689
SWaT,2,7,ties,window_auroc,2.0044526624646535,0.8018390262066105,3.0,0.8018591625665612,1.642995,segsweep_swat_merge_n2,80689
SWaT,2,7,iso_c,window_auroc,2.787013239667687,0.7980944077260144,5.0,0.7986902003809533,1.642995,segsweep_swat_merge_n2,80689
SWaT,2,7,tsv,window_auroc,1.3382690547933476,0.8019224961748947,2.0,0.8036629272589058,1.642995,segsweep_swat_merge_n2,80689
SWaT,2,123,ta,window_auroc,1.0,0.8039782009424559,1.0,0.8039782009424559,1.440022,segsweep_swat_merge_n2,80690
SWaT,2,123,dare,window_auroc,0.6591131471026922,0.8024444381438827,1.0,0.804401665481056,1.440022,segsweep_swat_merge_n2,80690
SWaT,2,123,ties,window_auroc,2.0450699082012407,0.8028503636079658,2.0,0.802915904819814,1.440022,segsweep_swat_merge_n2,80690
SWaT,2,123,iso_c,window_auroc,2.943634971139929,0.8003111117829692,5.0,0.8009143388877741,1.440022,segsweep_swat_merge_n2,80690
SWaT,2,123,tsv,window_auroc,1.3381594048640377,0.8028628489620925,2.0,0.8035002094924893,1.440022,segsweep_swat_merge_n2,80690
SWaT,3,7,ta,window_auroc,1.0,0.8036329679092544,3.0,0.8062716049703833,1.876439,noisefloor_swat,79349
SWaT,3,7,dare,window_auroc,0.7189375410516757,0.8029358221816942,3.0,0.8045217316021782,1.876439,noisefloor_swat,79349
SWaT,3,7,ties,window_auroc,2.7420068003541793,0.802318174975795,5.0,0.8034827622721961,1.876439,noisefloor_swat,79349
SWaT,3,7,iso_c,window_auroc,3.1583670051404398,0.7981201942977845,5.0,0.7985187090070912,1.876439,noisefloor_swat,79349
SWaT,3,7,tsv,window_auroc,1.5763352546270206,0.8012928443589757,5.0,0.8049653593859655,1.876439,noisefloor_swat,79349
SWaT,3,123,ta,window_auroc,1.0,0.8024451175351238,3.0,0.8045237883227546,1.862567,noisefloor_swat,79350
SWaT,3,123,dare,window_auroc,0.7134791008741815,0.8020413010660208,3.0,0.8053022973557264,1.862567,noisefloor_swat,79350
SWaT,3,123,ties,window_auroc,2.7143067815687703,0.8003736427503941,2.0,0.8011038686491136,1.862567,noisefloor_swat,79350
SWaT,3,123,iso_c,window_auroc,3.1276695517631796,0.7990885294897254,0.5,0.7995943450031542,1.862567,noisefloor_swat,79350
SWaT,3,123,tsv,window_auroc,1.56430901003647,0.8014902844960661,5.0,0.80387286617074,1.862567,noisefloor_swat,79350
SWaT,3,42,ta,window_auroc,1.0,0.8051215265491588,2.0,0.805625595600278,1.675725,noisefloor_swat,80680
SWaT,3,42,dare,window_auroc,0.7191482675419013,0.8043008067271654,2.0,0.806153072231772,1.675725,noisefloor_swat,80680
