experiment,run_id,merge_rule,coefficient_source,alpha_source,alpha,n_finetunes,status,n_tensors,max_abs_diff
n1_swat,80674,sum,scale,config.json,1.0,1,bitwise,49,0.0
noisefloor_etth,79353,sum,scale,config.json,1.0,3,bitwise,73,0.0
noisefloor_etth,79354,sum,scale,config.json,1.0,3,bitwise,73,0.0
noisefloor_etth,80675,sum,scale,config.json,1.0,3,bitwise,73,0.0
noisefloor_psm,79351,sum,scale,config.json,1.0,3,bitwise,49,0.0
noisefloor_psm,79352,sum,scale,config.json,1.0,3,bitwise,49,0.0
noisefloor_psm,80676,sum,scale,config.json,1.0,3,bitwise,49,0.0
noisefloor_swat,79349,sum,scale,config.json,1.0,3,bitwise,49,0.0
noisefloor_swat,79350,sum,scale,config.json,1.0,3,bitwise,49,0.0
noisefloor_swat,80680,sum,scale,config.json,1.0,3,bitwise,49,0.0
opcm2_psm_opcm_became,85513,opcm,became,config.json,1.0,3,skipped_became,,
opcm2_psm_opcm_became,85514,opcm,became,config.json,1.0,3,skipped_became,,
opcm2_psm_opcm_became,85515,opcm,became,config.json,1.0,3,skipped_became,,
opcm2_psm_opcm_scale,85507,opcm,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_opcm_scale,85508,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_opcm_scale,85509,opcm,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
opcm2_psm_sum_became,85510,sum,became,config.json,1.0,3,skipped_became,,
opcm2_psm_sum_became,85511,sum,became,config.json,1.0,3,skipped_became,,
opcm2_psm_sum_became,85512,sum,became,config.json,1.0,3,skipped_became,,
opcm2_psm_sum_scale,85504,sum,scale,merge_scale/selected,0.3,3,bitwise,73,0.0
opcm2_psm_sum_scale,85505,sum,scale,merge_scale/selected,0.35,3,bitwise,73,0.0
