dataset,n_segments,seed,lambda_source,fisher_batch_size,fisher_batches,fisher_samples,step,lambda_star,one_over_t,lambda_over_one_over_t,fisher_num,fisher_den,lambda_term,lambda_over_fisher,floor_is_t,fisher_star_num,asymmetry_hat_over_star,d_norm,step_norm,merged_dist_from_base,unconstrained_dist_from_base
ETTm2,5,7,became,128,64,8192,5,0.0019091789640710392,0.16666666666666666,0.011455073784426235,9.86877976006954e-07,0.0005169122405908893,0.0005159253626148824,522.7853647138712,5,0.0,,4.017945289611816,0.00767097482457757,4.809172630310059,6.041514873504639
exchange_rate,3,123,became,128,64,8192,1,0.6089059107237467,0.5,1.2178118214474933,2.0127865685186785e-08,3.3055789623166524e-08,1.2927923937979739e-08,0.6422898552773092,1,0.0,,1.04792058467865,0.6380850076675415,0.6380850076675415,1.04792058467865
exchange_rate,3,123,became,128,64,8192,2,0.8456902194349826,0.3333333333333333,2.537070658304948,5.5348924697988736e-08,6.54482261069167e-08,1.0099301408927962e-08,0.18246608157312494,2,0.0,,0.21017330884933472,0.17774151265621185,0.7023708820343018,0.7182372212409973
exchange_rate,3,123,became,128,64,8192,3,0.27055408010491555,0.25,1.0822163204196622,1.026323966925119e-05,3.7934152259952266e-05,2.7670912590701078e-05,2.696118719082779,3,0.0,,2.39556884765625,0.6481308937072754,0.9788335561752319,2.529298782348633
exchange_rate,3,42,became,128,64,8192,1,0.36640929035721237,0.5,0.7328185807144247,2.028693728099412e-08,5.5366874735125815e-08,3.5079937454131696e-08,1.7291884412240208,1,0.0,,0.9369782209396362,0.34331753849983215,0.34331753849983215,0.9369782209396362
exchange_rate,3,42,became,128,64,8192,2,0.7007386773591795,0.3333333333333333,2.1022160320775387,3.987542579861121e-07,5.6904844968579e-07,1.7029419169967794e-07,0.42706551287938593,2,0.0,,0.4348334074020386,0.30470460653305054,0.5408865213394165,0.6509586572647095
exchange_rate,3,42,became,128,64,8192,3,0.1407335509685063,0.25,0.5629342038740252,8.442657358196424e-06,5.999036690323932e-05,5.154770954504289e-05,6.105626150396663,3,0.0,,2.421591281890869,0.34079915285110474,0.6483093500137329,2.4978206157684326
exchange_rate,3,7,became,128,64,8192,1,0.7824685626110396,0.5,1.5649371252220792,5.8226420123961634e-08,7.44137501571493e-08,1.618733003318766e-08,0.2780066162186428,1,0.0,,0.8105812072753906,0.6342543363571167,0.6342543363571167,0.8105812072753906
exchange_rate,3,7,became,128,64,8192,2,0.8572139262315477,0.3333333333333333,2.571641778694643,1.9473993284364947e-07,2.2717775211580849e-07,3.243781927215901e-08,0.16656994176023626,2,0.0,,0.40640583634376526,0.3483767509460449,0.7704607248306274,0.8056445121765137
exchange_rate,3,7,became,128,64,8192,3,0.2767810418968412,0.25,1.1071241675873649,7.143411228591278e-06,2.5808889148028036e-05,1.8665477919436758e-05,2.6129642158537325,3,0.0,,2.3530466556549072,0.6512786746025085,1.0278609991073608,2.504066228866577
PSM,3,123,became,64,64,4096,1,0.9401793724800936,0.5,1.8803587449601873,1.2839221068960242e-07,1.3656139929013477e-07,8.16918860053235e-09,0.06362682406241887,1,0.0,,0.5051305890083313,0.4749133586883545,0.4749133586883545,0.5051305890083313
PSM,3,123,became,64,64,4096,2,0.7058704820202762,0.3333333333333333,2.117611446060829,3.88335375134862e-07,5.501510334068723e-07,1.6181565827201026e-07,0.4166904913460808,2,0.0,,0.5494738221168518,0.3878573477268219,0.7278122901916504,0.8632836937904358
PSM,3,123,became,64,64,4096,3,0.40728500238018295,0.25,1.6291400095207318,3.0621286245592813e-07,7.518392788008719e-07,4.4562641634494376e-07,1.4552831411811802,3,0.0,,0.4973420202732086,0.2025599479675293,0.7403811812400818,0.8494862914085388
PSM,3,42,became,64,64,4096,1,0.921157557471094,0.5,1.842315114942188,1.4855555785213378e-07,1.612705195189103e-07,1.271496166677651e-08,0.08559061573066469,1,0.0,,0.5172202587127686,0.476441353559494,0.476441353559494,0.5172202587127686
PSM,3,42,became,64,64,4096,2,0.764130385794811,0.3333333333333333,2.292391157384433,1.206416034575921e-07,1.5788091365075952e-07,3.723931019316742e-08,0.3086771820490414,2,0.0,,0.27494359016418457,0.21009273827075958,0.5912206768989563,0.636552631855011
PSM,3,42,became,64,64,4096,3,0.26326408784948824,0.25,1.053056351397953,1.7144263918081064e-07,6.512192398943026e-07,4.797766007134919e-07,2.7984671899940787,3,0.0,,0.4600735604763031,0.12112084776163101,0.5993696451187134,0.736436128616333
PSM,3,7,became,64,64,4096,1,0.9590839565119287,0.5,1.9181679130238574,1.2246894342855337e-07,1.2769366289261888e-07,5.224719464065511e-09,0.042661586830081026,1,0.0,,0.5057332515716553,0.4850406348705292,0.4850406348705292,0.5057332515716553
PSM,3,7,became,64,64,4096,2,0.7294784067778245,0.3333333333333333,2.188435220333474,3.134038326248015e-07,4.296272922033923e-07,1.1622345957859081e-07,0.3708424961022425,2,0.0,,0.4902137815952301,0.3576003909111023,0.6984993815422058,0.8041137456893921
PSM,3,7,became,64,64,4096,3,0.32188337776222403,0.25,1.2875335110488961,1.6827156648439678e-07,5.227718425668422e-07,3.545002760824454e-07,2.1067152549228627,3,0.0,,0.4461146593093872,0.14359690248966217,0.7010560035705566,0.7962255477905273
SWaT,3,123,became,64,64,4096,1,0.44898312150903613,0.5,0.8979662430180723,1.569641475150184e-08,3.495992165305915e-08,1.926350690155731e-08,1.227255217610389,1,0.0,,0.6635216474533081,0.29791003465652466,0.29791003465652466,0.6635216474533081
SWaT,3,123,became,64,64,4096,2,0.2523904864684867,0.3333333333333333,0.7571714594054602,2.2600576999005314e-08,8.954607328999781e-08,6.69454962909925e-08,2.9621144758356777,2,0.0,,0.4877606928348541,0.12310615926980972,0.38080233335494995,0.6996594071388245
SWaT,3,123,became,64,64,4096,3,0.1349052982612999,0.25,0.5396211930451996,2.5393940519689e-08,1.8823530911664517e-07,1.6284136859695616e-07,6.412607309633506,3,0.0,,0.4755679965019226,0.06415664404630661,0.4274928569793701,0.7876636981964111
SWaT,3,42,became,64,64,4096,1,0.6852921095071732,0.5,1.3705842190143465,1.7705558736360074e-08,2.5836513350625032e-08,8.130954614264959e-09,0.45923174384591764,1,0.0,,0.549656867980957,0.37667548656463623,0.37667548656463623,0.549656867980957
SWaT,3,42,became,64,64,4096,2,0.33691214859576285,0.3333333333333333,1.0107364457872887,1.8261495682062103e-08,5.420254436705631e-08,3.59410486849942e-08,1.968132803070362,2,0.0,,0.45567676424980164,0.1535230427980423,0.46656909584999084,0.7103239297866821
SWaT,3,42,became,64,64,4096,3,0.11796819800896065,0.25,0.4718727920358426,1.9461613296232656e-08,1.6497338795286495e-07,1.455117746566323e-07,7.476860856381326,3,0.0,,0.5291268229484558,0.06242014095187187,0.5072502493858337,0.8946807980537415
SWaT,3,7,became,64,64,4096,1,0.2587905207292923,0.5,0.5175810414585846,1.99595845879051e-08,7.712641302184253e-08,5.716682843393744e-08,2.8641291697312576,1,0.0,,0.6928746700286865,0.1793093979358673,0.1793093979358673,0.6928746700286865
SWaT,3,7,became,64,64,4096,2,0.30715915534743427,0.3333333333333333,0.9214774660423029,4.0964068930942066e-08,1.3336431038367304e-07,9.240024145273097e-08,2.25564119639826,2,0.0,,0.44842275977134705,0.13773715496063232,0.28449127078056335,0.5747100710868835
SWaT,3,7,became,64,64,4096,3,0.055905430410444094,0.25,0.22362172164177638,3.635071136985268e-08,6.50217896597425e-07,6.138671852275723e-07,16.887349988332847,3,0.0,,0.7247098088264465,0.04051521047949791,0.3165532052516937,0.959936797618866
ETTh1,3,123,became,1,512,512,1,0.6191441915283693,0.5,1.2382883830567386,1.6353626024145846e-05,2.641327536930712e-05,1.0059649345161272e-05,0.6151326519457136,1,2.2456599657943364e-05,0.7282325139710647,1.6692126989364624,1.0334833860397339,1.0334833860397339,1.6692126989364624
ETTh1,3,123,became,1,512,512,2,0.5590649624160339,0.3333333333333333,1.6771948872481017,8.839318857955744e-05,0.00015810897573970796,6.971578716015052e-05,0.7887008974385339,2,9.309816063531024e-05,0.949462244757086,2.430725336074829,1.3589333295822144,1.78770112991333,2.734829902648926
ETTh1,3,123,became,1,512,512,3,0.1513820874242109,0.25,0.6055283496968435,1.544346884990159e-05,0.00010201648763519219,8.65730187852906e-05,5.605801366695038,3,2.712420468356034e-05,0.5693611676386477,2.1229286193847656,0.3213733732700348,1.83527410030365,2.856395959854126
ETTh1,3,42,became,1,512,512,1,0.5537006832531037,0.5,1.1074013665062075,1.690673686725263e-05,3.053407261107594e-05,1.362733574382331e-05,0.8060299187727155,1,2.3737582546217357e-05,0.7122349899925576,1.8527045249938965,1.0258437395095825,1.0258437395095825,1.8527045249938965
