dataset,n_segments,method,experiment,subblock,n_subblocks,n_windows,n_seeds,mean,sd,rank
exchange,2,base,segsweep_exchange_merge_n2,3,4,1470,3,0.355657,0.012063,
exchange,2,joint,exch_gate_standard,4,4,1470,3,0.304649,0.000779,4
exchange,2,merge,segsweep_exchange_merge_n2,4,4,1470,3,0.275995,0.019683,2
exchange,2,sequential,segsweep_exchange_seq_n2,4,4,1470,3,0.296115,0.012661,3
exchange,2,window,window_exchange_W3,4,4,1470,3,0.263617,0.004629,1
exchange,2,base,segsweep_exchange_merge_n2,4,4,1470,3,0.39033,0.011083,
exchange,3,joint,exch_gate_standard,1,4,1470,3,0.662766,0.094112,4
exchange,3,merge,selalpha_exchange_n3,1,4,1470,3,0.303225,0.040784,3
exchange,3,sequential,exch_continual,1,4,1470,3,0.150396,0.01159,2
exchange,3,window,window_exchange_W3,1,4,1470,3,0.146201,0.006239,1
exchange,3,base,selalpha_exchange_n3,1,4,1470,3,1.225148,0.062565,
exchange,3,joint,exch_gate_standard,2,4,1470,3,0.396366,0.063016,4
exchange,3,merge,selalpha_exchange_n3,2,4,1470,3,0.325626,0.039176,2
exchange,3,sequential,exch_continual,2,4,1470,3,0.330804,0.024947,3
exchange,3,window,window_exchange_W3,2,4,1470,3,0.19144,0.007007,1
exchange,3,base,selalpha_exchange_n3,2,4,1470,3,0.908377,0.036769,
exchange,3,joint,exch_gate_standard,3,4,1470,3,0.219334,0.009604,1
exchange,3,merge,selalpha_exchange_n3,3,4,1470,3,0.460326,0.111955,3
exchange,3,sequential,exch_continual,3,4,1470,3,0.552946,0.062082,4
exchange,3,window,window_exchange_W3,3,4,1470,3,0.219508,0.011044,2
exchange,3,base,selalpha_exchange_n3,3,4,1470,3,0.336712,0.016005,
exchange,3,joint,exch_gate_standard,4,4,1470,3,0.304649,0.000779,2
exchange,3,merge,selalpha_exchange_n3,4,4,1470,3,0.361147,0.073584,3
exchange,3,sequential,exch_continual,4,4,1470,3,0.399985,0.039389,4
exchange,3,window,window_exchange_W3,4,4,1470,3,0.263617,0.004629,1
exchange,3,base,selalpha_exchange_n3,4,4,1470,3,0.375298,0.002906,
exchange,5,joint,exch_gate_standard,1,4,1470,3,0.662766,0.094112,4
exchange,5,merge,segsweep_exchange_merge_n5,1,4,1470,3,0.38742,0.017329,3
exchange,5,sequential,segsweep_exchange_seq_n5,1,4,1470,3,0.172039,0.004173,2
exchange,5,window,window_exchange_W3,1,4,1470,3,0.146201,0.006239,1
exchange,5,base,segsweep_exchange_merge_n5,1,4,1470,3,1.201435,0.03264,
exchange,5,joint,exch_gate_standard,2,4,1470,3,0.396366,0.063016,3
exchange,5,merge,segsweep_exchange_merge_n5,2,4,1470,3,0.332031,0.028778,2
exchange,5,sequential,segsweep_exchange_seq_n5,2,4,1470,3,0.411853,0.013595,4
exchange,5,window,window_exchange_W3,2,4,1470,3,0.19144,0.007007,1
exchange,5,base,segsweep_exchange_merge_n5,2,4,1470,3,0.903342,0.023114,
exchange,5,joint,exch_gate_standard,3,4,1470,3,0.219334,0.009604,1
exchange,5,merge,segsweep_exchange_merge_n5,3,4,1470,3,0.293135,0.05121,3
exchange,5,sequential,segsweep_exchange_seq_n5,3,4,1470,3,0.885795,0.037711,4
exchange,5,window,window_exchange_W3,3,4,1470,3,0.219508,0.011044,2
exchange,5,base,segsweep_exchange_merge_n5,3,4,1470,3,0.328647,0.016937,
exchange,5,joint,exch_gate_standard,4,4,1470,3,0.304649,0.000779,3
exchange,5,merge,segsweep_exchange_merge_n5,4,4,1470,3,0.295803,0.026057,2
exchange,5,sequential,segsweep_exchange_seq_n5,4,4,1470,3,0.653948,0.023076,4
exchange,5,window,window_exchange_W3,4,4,1470,3,0.263617,0.004629,1
exchange,5,base,segsweep_exchange_merge_n5,4,4,1470,3,0.373651,0.017348,
PSM-forecast,2,joint,adfc2_psm_joint,1,4,57319,3,0.117792,0.005507,1
PSM-forecast,2,merge,adfc2_psm_merge_n2,1,4,57319,3,0.143106,0.01735,4
PSM-forecast,2,sequential,adfc2_psm_sequential_n2,1,4,57319,3,0.139183,0.014954,3
PSM-forecast,2,window,adfc2_psm_window_W3,1,4,57319,3,0.135156,0.006301,2
PSM-forecast,2,base,adfc2_psm_merge_n2,1,4,57319,3,0.182273,0.026036,
PSM-forecast,2,joint,adfc2_psm_joint,2,4,57319,3,0.147832,0.00825,1
PSM-forecast,2,merge,adfc2_psm_merge_n2,2,4,57319,3,0.17796,0.023076,2
PSM-forecast,2,sequential,adfc2_psm_sequential_n2,2,4,57319,3,0.219356,0.054846,4
PSM-forecast,2,window,adfc2_psm_window_W3,2,4,57319,3,0.193973,0.006081,3
PSM-forecast,2,base,adfc2_psm_merge_n2,2,4,57319,3,0.28477,0.031483,
PSM-forecast,2,joint,adfc2_psm_joint,3,4,57319,3,0.792049,0.032449,1
PSM-forecast,2,merge,adfc2_psm_merge_n2,3,4,57319,3,0.947469,0.112543,2
PSM-forecast,2,sequential,adfc2_psm_sequential_n2,3,4,57319,3,1.189668,0.1001,4
PSM-forecast,2,window,adfc2_psm_window_W3,3,4,57319,3,0.948679,0.021631,3
PSM-forecast,2,base,adfc2_psm_merge_n2,3,4,57319,3,1.460899,0.027032,
PSM-forecast,2,joint,adfc2_psm_joint,4,4,57319,3,0.151103,0.008164,1
PSM-forecast,2,merge,adfc2_psm_merge_n2,4,4,57319,3,0.183335,0.007954,3
PSM-forecast,2,sequential,adfc2_psm_sequential_n2,4,4,57319,3,0.222551,0.033857,4
PSM-forecast,2,window,adfc2_psm_window_W3,4,4,57319,3,0.166749,0.009893,2
PSM-forecast,2,base,adfc2_psm_merge_n2,4,4,57319,3,0.20311,0.003687,
PSM-forecast,3,joint,adfc2_psm_joint,1,4,57319,3,0.117792,0.005507,1
PSM-forecast,3,merge,adfc2_psm_merge_n3,1,4,57319,3,0.150592,0.002137,4
PSM-forecast,3,sequential,adfc2_psm_sequential_n3,1,4,57319,3,0.137333,0.000846,3
PSM-forecast,3,window,adfc2_psm_window_W3,1,4,57319,3,0.135156,0.006301,2
PSM-forecast,3,base,adfc2_psm_merge_n3,1,4,57319,3,0.173909,0.005156,
PSM-forecast,3,joint,adfc2_psm_joint,2,4,57319,3,0.147832,0.00825,1
PSM-forecast,3,merge,adfc2_psm_merge_n3,2,4,57319,3,0.204696,0.009343,4
PSM-forecast,3,sequential,adfc2_psm_sequential_n3,2,4,57319,3,0.191383,0.013924,2
PSM-forecast,3,window,adfc2_psm_window_W3,2,4,57319,3,0.193973,0.006081,3
PSM-forecast,3,base,adfc2_psm_merge_n3,2,4,57319,3,0.266034,0.023862,
PSM-forecast,3,joint,adfc2_psm_joint,3,4,57319,3,0.792049,0.032449,1
PSM-forecast,3,merge,adfc2_psm_merge_n3,3,4,57319,3,1.040924,0.036276,4
PSM-forecast,3,sequential,adfc2_psm_sequential_n3,3,4,57319,3,0.979246,0.04353,3
PSM-forecast,3,window,adfc2_psm_window_W3,3,4,57319,3,0.948679,0.021631,2
PSM-forecast,3,base,adfc2_psm_merge_n3,3,4,57319,3,1.430971,0.030748,
PSM-forecast,3,joint,adfc2_psm_joint,4,4,57319,3,0.151103,0.008164,1
PSM-forecast,3,merge,adfc2_psm_merge_n3,4,4,57319,3,0.173775,0.003462,3
PSM-forecast,3,sequential,adfc2_psm_sequential_n3,4,4,57319,3,0.227886,0.020955,4
PSM-forecast,3,window,adfc2_psm_window_W3,4,4,57319,3,0.166749,0.009893,2
PSM-forecast,3,base,adfc2_psm_merge_n3,4,4,57319,3,0.204545,0.004861,
PSM-forecast,5,joint,adfc2_psm_joint,1,4,57319,3,0.117792,0.005507,1
PSM-forecast,5,merge,adfc2_psm_merge_n5,1,4,57319,3,0.158187,0.005798,4
PSM-forecast,5,sequential,adfc2_psm_sequential_n5,1,4,57319,3,0.150099,0.008159,3
PSM-forecast,5,window,adfc2_psm_window_W3,1,4,57319,3,0.135156,0.006301,2
PSM-forecast,5,base,adfc2_psm_merge_n5,1,4,57319,3,0.179982,0.030562,
PSM-forecast,5,joint,adfc2_psm_joint,2,4,57319,3,0.147832,0.00825,1
PSM-forecast,5,merge,adfc2_psm_merge_n5,2,4,57319,3,0.186723,0.002834,2
PSM-forecast,5,sequential,adfc2_psm_sequential_n5,2,4,57319,3,0.212285,0.028984,4
PSM-forecast,5,window,adfc2_psm_window_W3,2,4,57319,3,0.193973,0.006081,3
PSM-forecast,5,base,adfc2_psm_merge_n5,2,4,57319,3,0.275906,0.083227,
PSM-forecast,5,joint,adfc2_psm_joint,3,4,57319,3,0.792049,0.032449,1
PSM-forecast,5,merge,adfc2_psm_merge_n5,3,4,57319,3,1.080123,0.018335,3
PSM-forecast,5,sequential,adfc2_psm_sequential_n5,3,4,57319,3,1.127429,0.13094,4
PSM-forecast,5,window,adfc2_psm_window_W3,3,4,57319,3,0.948679,0.021631,2
PSM-forecast,5,base,adfc2_psm_merge_n5,3,4,57319,3,1.37518,0.016146,
PSM-forecast,5,joint,adfc2_psm_joint,4,4,57319,3,0.151103,0.008164,1
PSM-forecast,5,merge,adfc2_psm_merge_n5,4,4,57319,3,0.189253,0.003495,3
PSM-forecast,5,sequential,adfc2_psm_sequential_n5,4,4,57319,3,0.277691,0.051116,4
PSM-forecast,5,window,adfc2_psm_window_W3,4,4,57319,3,0.166749,0.009893,2
PSM-forecast,5,base,adfc2_psm_merge_n5,4,4,57319,3,0.21948,0.019819,
