parameter,shape,rank,i,j,angle_index,angle_rad
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,1,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,2,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,3,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,4,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,5,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,6,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,0,7,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,0,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,1,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,2,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,3,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,4,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,5,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,6,0.0
decoder.encoder.layers.1.linear2.weight,64x256,8,2,1,7,0.0
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,0,0.5301967030499619
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,1,0.6913737752548292
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,2,0.8439961380052047
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,3,1.0348232661036323
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,4,1.138887918027212
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,5,1.3053275292971416
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,6,1.4718372509276993
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,1,7,1.481189516505141
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,0,0.6718682583474667
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,1,0.8898088779616727
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,2,1.0010426304632938
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,3,1.1853164946640116
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,4,1.238996513269133
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,5,1.28915879791193
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,6,1.3698050335661427
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,0,2,7,1.4674806577074608
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,0,0.5301967030499621
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,1,0.6913737752548293
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,2,0.8439961380052043
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,3,1.0348232661036323
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,4,1.138887918027212
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,5,1.3053275292971414
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,6,1.4718372509276993
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,0,7,1.4811895165051412
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,0,0.643956246157087
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,1,0.7796044661007477
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,2,0.9515779117556672
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,3,1.0377628227892357
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,4,1.1750446273120982
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,5,1.203613253208625
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,6,1.3500036460054465
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,1,2,7,1.5555873342773128
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,0,0.6718682583474667
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,1,0.889808877961673
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,2,1.0010426304632938
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,3,1.1853164946640116
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,4,1.238996513269133
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,5,1.2891587979119299
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,6,1.369805033566143
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,0,7,1.4674806577074608
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,0,0.6439562461570874
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,1,0.7796044661007477
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,2,0.9515779117556671
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,3,1.0377628227892357
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,4,1.1750446273120982
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,5,1.2036132532086252
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,6,1.3500036460054465
decoder.encoder.layers.1.self_attn.in_proj_weight,192x64,8,2,1,7,1.5555873342773128
decoder.encoder.layers.1.self_attn.out_proj.weight,64x64,8,0,1,0,0.26998604724857855
decoder.encoder.layers.1.self_attn.out_proj.weight,64x64,8,0,1,1,0.47539036373299104
decoder.encoder.layers.1.self_attn.out_proj.weight,64x64,8,0,1,2,0.5943823605689971
decoder.encoder.layers.1.self_attn.out_proj.weight,64x64,8,0,1,3,0.720352541494197
